# GPU certification gate manifest — generated by scripts/gpu-cert.sh
# Regenerate with: scripts/gpu-cert.sh --write-manifest
# Columns: file<TAB>test<TAB>class<TAB>reason
crates/nsl-cli/tests/ccr_checkpoint_activation_parity_gpu.rs	ccr_activation_parity_on_gpu	gpu	requires CUDA GPU
crates/nsl-cli/tests/ccr_checkpoint_parity.rs	ccr_blocks_parity_on_gpu	gpu	requires CUDA GPU
crates/nsl-cli/tests/ccr_checkpoint_parity.rs	ccr_blocks_parity_on_gpu_deterministic	gpu	requires CUDA GPU
crates/nsl-cli/tests/ccr_checkpoint_parity.rs	ccr_production_gpu_tolerance	gpu	requires CUDA GPU
crates/nsl-cli/tests/ccr_periodic_stride_gate.rs	dp_stride_activation_peak_not_worse_gpu	gpu	requires CUDA GPU
crates/nsl-cli/tests/ccr_periodic_stride_gate.rs	periodic_stride_reduces_activation_peak_gpu	gpu	requires CUDA GPU
crates/nsl-cli/tests/csha_fused_dgamma_runtime.rs	compile_time_emits_fused_dgamma_for_csha_chain	toolchain	requires `nsl` binary built + CUDA toolchain available for the build link step
crates/nsl-cli/tests/csha_fused_dgamma_runtime.rs	runtime_executes_fused_dgamma	gpu	requires CUDA toolchain + GPU; runs the full CSHA fused-backward pipeline end-to-end including SGD writeback on f16 grads.
crates/nsl-cli/tests/csha_gap_gpu_e2e_smoke.rs	csha_gap_gpu_e2e_weights_change_after_one_step	gpu	requires a CUDA-capable GPU
crates/nsl-cli/tests/csha_gap_gpu_e2e_smoke.rs	csha_gap_gpu_e2e_csha_fused_path	gpu	requires a CUDA-capable GPU; runs the full CSHA fused-backward pipeline end-to-end including SGD writeback on f16 grads.
crates/nsl-cli/tests/csha_gap_gpu_e2e_smoke.rs	csha_gap_gpu_e2e_fused_vs_baseline_parity	gpu	requires a CUDA-capable GPU; runs the toy train twice (baseline + --csha auto) and compares per-param movements.
crates/nsl-cli/tests/csla_layerwise_gate.rs	csla_parity_ffn_gpu	gpu	requires CUDA GPU
crates/nsl-cli/tests/csla_layerwise_gate.rs	csla_parity_packed_gqa_gpu	gpu	requires CUDA GPU
crates/nsl-cli/tests/csla_layerwise_gate.rs	csla_parity_packed_mha_gpu_fused	gpu	requires CUDA GPU
crates/nsl-cli/tests/csla_layerwise_gate.rs	csla_parity_packed_mha_gpu_selective_carry	gpu	requires CUDA GPU
crates/nsl-cli/tests/csla_layerwise_gate.rs	csla_parity_ffn_gpu_mv_streaming	gpu	requires CUDA GPU
crates/nsl-cli/tests/csla_layerwise_gate.rs	csla_weight_stream_parity_gpu	gpu	requires CUDA GPU
crates/nsl-cli/tests/csla_layerwise_gate.rs	csla_weight_stream_passthrough_view_gpu	gpu	requires CUDA GPU
